Timestamp,SerialNumber,Watts,MaxWatts,DailyMaxWatts,LastReportDate
2025-08-08 07:55:00,Panel_1,7,295,7,1754653900
2025-08-08 07:55:00,Panel_2,11,296,11,1754653901
2025-08-08 07:55:00,Panel_3,7,279,7,1754653871
2025-08-08 07:55:00,Panel_4,12,297,12,1754653904
2025-08-08 07:55:00,Panel_5,12,297,12,1754653841
2025-08-08 07:55:00,Panel_6,8,296,8,1754653812
2025-08-08 07:55:00,Panel_7,9,278,9,1754653844
2025-08-08 07:55:00,Panel_8,12,297,12,1754653874
2025-08-08 07:55:00,Panel_9,10,296,10,1754653723
2025-08-08 07:55:00,Panel_10,10,285,10,1754653875
2025-08-08 07:55:00,Panel_11,7,171,7,1754653935
2025-08-08 07:55:00,Panel_12,9,296,9,1754653848
2025-08-08 07:55:00,Panel_13,9,296,9,1754653757
2025-08-08 07:55:00,Panel_14,9,241,9,1754653760
2025-08-08 07:55:00,Panel_15,9,296,9,1754653819
2025-08-08 07:55:00,Panel_16,9,294,9,1754653881
2025-08-08 07:55:00,Panel_17,6,249,6,1754653762
2025-08-08 07:55:00,Panel_18,12,297,12,1754653914
2025-08-08 07:55:00,Panel_19,10,292,10,1754654031
2025-08-08 07:55:00,Panel_20,13,297,13,1754653823
2025-08-08 07:55:00,Panel_21,11,296,11,1754653971
2025-08-08 07:55:00,Panel_22,10,296,10,1754653793
2025-08-08 07:55:31,Panel_9,11,296,11,1754654054
2025-08-08 07:56:01,Panel_13,10,296,10,1754654088
2025-08-08 07:56:01,Panel_14,9,241,9,1754654089
2025-08-08 07:56:01,Panel_17,7,249,7,1754654092
2025-08-08 07:56:31,Panel_22,10,296,10,1754654123
2025-08-08 07:57:01,Panel_6,8,296,8,1754654142
2025-08-08 07:57:01,Panel_15,9,296,9,1754654150
2025-08-08 07:57:01,Panel_20,13,297,13,1754654154
2025-08-08 07:57:31,Panel_5,12,297,12,1754654174
2025-08-08 07:57:31,Panel_7,9,278,9,1754654175
2025-08-08 07:57:31,Panel_12,9,296,9,1754654179
2025-08-08 07:58:01,Panel_3,7,279,7,1754654202
2025-08-08 07:58:01,Panel_8,13,297,13,1754654205
2025-08-08 07:58:01,Panel_10,11,285,11,1754654205
2025-08-08 07:58:01,Panel_16,9,294,9,1754654212
2025-08-08 07:58:32,Panel_1,8,295,8,1754654231
2025-08-08 07:58:32,Panel_2,12,296,12,1754654233
2025-08-08 07:58:32,Panel_4,12,297,12,1754654234
2025-08-08 07:58:32,Panel_18,13,297,13,1754654243
2025-08-08 07:59:02,Panel_11,8,171,8,1754654265
2025-08-08 07:59:32,Panel_21,12,296,12,1754654304
2025-08-08 08:00:32,Panel_19,10,292,10,1754654360
2025-08-08 08:01:03,Panel_9,12,296,12,1754654386
