Timestamp,SerialNumber,Watts,MaxWatts,DailyMaxWatts,LastReportDate
2025-08-13 08:10:30,Panel_1,11,295,11,1755086886
2025-08-13 08:10:30,Panel_2,16,296,16,1755086915
2025-08-13 08:10:30,Panel_3,10,279,10,1755086765
2025-08-13 08:10:30,Panel_4,17,297,17,1755086916
2025-08-13 08:10:30,Panel_5,18,297,18,1755086734
2025-08-13 08:10:30,Panel_6,12,296,12,1755086855
2025-08-13 08:10:30,Panel_7,12,278,12,1755086976
2025-08-13 08:10:30,Panel_8,18,297,18,1755086977
2025-08-13 08:10:30,Panel_9,15,296,15,1755086765
2025-08-13 08:10:30,Panel_10,14,285,14,1755086827
2025-08-13 08:10:30,Panel_11,10,171,10,1755086856
2025-08-13 08:10:30,Panel_12,13,296,13,1755086919
2025-08-13 08:10:30,Panel_13,14,296,14,1755086828
2025-08-13 08:10:30,Panel_14,11,241,11,1755086947
2025-08-13 08:10:30,Panel_15,13,296,13,1755086919
2025-08-13 08:10:30,Panel_16,12,294,12,1755086891
2025-08-13 08:10:30,Panel_17,9,249,9,1755086828
2025-08-13 08:10:30,Panel_18,17,297,17,1755086978
2025-08-13 08:10:30,Panel_19,14,292,14,1755086922
2025-08-13 08:10:30,Panel_20,18,297,18,1755086922
2025-08-13 08:10:30,Panel_21,16,296,16,1755086796
2025-08-13 08:10:30,Panel_22,14,296,14,1755086893
2025-08-13 08:11:31,Panel_5,17,297,18,1755087065
2025-08-13 08:12:01,Panel_3,10,279,10,1755087095
2025-08-13 08:12:01,Panel_9,14,296,15,1755087097
2025-08-13 08:12:31,Panel_21,15,296,16,1755087127
2025-08-13 08:13:01,Panel_10,14,285,14,1755087158
2025-08-13 08:13:01,Panel_13,13,296,14,1755087159
2025-08-13 08:13:01,Panel_17,9,249,9,1755087162
2025-08-13 08:13:31,Panel_6,12,296,12,1755087186
2025-08-13 08:13:31,Panel_11,10,171,10,1755087187
2025-08-13 08:14:02,Panel_1,11,295,11,1755087216
2025-08-13 08:14:02,Panel_16,12,294,12,1755087216
2025-08-13 08:14:02,Panel_22,14,296,14,1755087217
2025-08-13 08:14:32,Panel_2,16,296,16,1755087246
2025-08-13 08:14:32,Panel_4,17,297,17,1755087247
2025-08-13 08:14:32,Panel_12,13,296,13,1755087249
2025-08-13 08:14:32,Panel_15,13,296,13,1755087251
2025-08-13 08:14:32,Panel_19,14,292,14,1755087252
2025-08-13 08:14:32,Panel_20,19,297,19,1755087253
