Timestamp,Production_W,Consumption_W,Net_W,PanelTotal_W
2025-08-12 07:43:42,264,626,-362,264
2025-08-12 07:43:58,245,577,-332,265
2025-08-12 07:44:13,247,535,-288,265
2025-08-12 07:44:28,233,556,-323,272
2025-08-12 07:44:43,204,546,-341,272
2025-08-12 07:44:58,236,571,-335,272
2025-08-12 07:45:13,226,772,-546,272
2025-08-12 07:45:28,216,791,-575,273
2025-08-12 07:45:43,210,2199,-1989,273
2025-08-12 07:45:58,251,2255,-2005,274
2025-08-12 07:46:13,232,2215,-1984,274
2025-08-12 07:46:28,239,792,-553,274
2025-08-12 07:46:44,259,796,-537,274
2025-08-12 07:46:59,258,639,-381,273
2025-08-12 07:47:14,257,626,-370,273
2025-08-12 07:47:29,245,668,-422,272
2025-08-12 07:47:44,231,650,-420,272
2025-08-12 07:47:59,224,649,-426,271
2025-08-12 07:48:14,257,650,-392,271
2025-08-12 07:48:29,260,774,-513,269
2025-08-12 07:48:44,247,763,-516,269
2025-08-12 07:49:00,267,761,-494,264
2025-08-12 07:49:15,269,681,-412,264
2025-08-12 07:49:30,248,693,-445,263
2025-08-12 07:49:45,221,678,-456,263
2025-08-12 07:50:00,271,694,-423,256
2025-08-12 07:50:15,283,692,-409,256
2025-08-12 07:50:30,259,684,-425,256
2025-08-12 07:50:45,276,694,-418,256
2025-08-12 07:51:01,277,697,-420,255
2025-08-12 07:51:16,286,726,-440,255
2025-08-12 07:51:31,287,709,-422,254
2025-08-12 07:51:46,275,701,-426,254
2025-08-12 07:52:01,274,712,-438,254
2025-08-12 07:52:16,287,722,-435,254
2025-08-12 07:52:31,293,775,-481,255
2025-08-12 07:52:46,290,703,-413,255
2025-08-12 07:53:01,292,699,-406,257
2025-08-12 07:53:16,261,686,-425,257
2025-08-12 07:53:32,293,730,-437,258
2025-08-12 07:53:47,320,739,-419,258
2025-08-12 07:54:02,321,749,-428,261
2025-08-12 07:54:17,285,717,-432,261
2025-08-12 07:54:32,288,707,-420,269
2025-08-12 07:54:47,296,696,-400,269
2025-08-12 07:55:02,288,706,-418,270
2025-08-12 07:55:17,285,718,-432,270
2025-08-12 07:55:32,280,675,-395,282
2025-08-12 07:55:47,288,703,-415,282
2025-08-12 07:56:02,278,682,-405,282
2025-08-12 07:56:18,292,686,-394,284
2025-08-12 07:56:33,273,656,-383,284
2025-08-12 07:56:48,271,672,-400,284
2025-08-12 07:57:03,294,674,-380,287
2025-08-12 07:57:18,278,656,-379,287
2025-08-12 07:57:33,292,706,-414,289
2025-08-12 07:57:48,291,698,-406,290
2025-08-12 07:58:03,286,705,-419,290
2025-08-12 07:58:18,329,687,-358,290
2025-08-12 07:58:34,292,710,-418,293
2025-08-12 07:58:49,317,708,-391,294
2025-08-12 07:59:04,345,709,-364,294
2025-08-12 07:59:19,331,703,-373,296
2025-08-12 07:59:34,309,685,-375,296
2025-08-12 07:59:49,302,659,-357,296
2025-08-12 08:00:04,305,667,-362,300
2025-08-12 08:00:19,279,693,-414,300
2025-08-12 08:00:34,294,680,-386,301
2025-08-12 08:00:49,300,712,-412,301
2025-08-12 08:01:04,291,688,-397,304
2025-08-12 08:01:20,297,669,-372,304
2025-08-12 08:01:35,313,680,-367,304
2025-08-12 08:01:50,294,676,-382,304
