Timestamp,Production_W,Consumption_W,Net_W,PanelTotal_W
2025-08-11 07:49:06,242,733,-491,252
2025-08-11 07:49:22,231,699,-468,252
2025-08-11 07:49:37,216,685,-469,252
2025-08-11 07:49:52,235,664,-429,252
2025-08-11 07:50:07,225,676,-451,251
2025-08-11 07:50:22,244,699,-455,251
2025-08-11 07:50:37,266,669,-403,250
2025-08-11 07:50:52,275,591,-316,250
2025-08-11 07:51:07,252,545,-293,250
2025-08-11 07:51:22,269,572,-303,250
2025-08-11 07:51:37,253,578,-325,248
2025-08-11 07:51:52,226,568,-341,248
2025-08-11 07:52:07,236,563,-327,248
2025-08-11 07:52:23,248,579,-331,248
2025-08-11 07:52:38,257,582,-325,248
2025-08-11 07:52:53,253,570,-318,248
2025-08-11 07:53:08,243,569,-326,249
2025-08-11 07:53:23,230,566,-336,249
2025-08-11 07:53:38,221,573,-352,249
2025-08-11 07:53:53,262,593,-331,249
2025-08-11 07:54:08,269,607,-339,249
2025-08-11 07:54:23,303,807,-505,249
2025-08-11 07:54:39,256,1026,-770,251
2025-08-11 07:54:54,277,2359,-2082,252
2025-08-11 07:55:09,275,2314,-2040,252
2025-08-11 07:55:24,259,2312,-2053,253
2025-08-11 07:55:39,251,712,-462,253
2025-08-11 07:55:54,274,748,-474,253
2025-08-11 07:56:09,242,715,-474,254
2025-08-11 07:56:25,250,723,-473,255
2025-08-11 07:56:40,245,739,-494,255
2025-08-11 07:56:55,292,801,-510,255
2025-08-11 07:57:10,254,749,-495,259
2025-08-11 07:57:25,279,762,-483,259
2025-08-11 07:57:40,310,762,-453,262
2025-08-11 07:57:55,280,734,-454,262
2025-08-11 07:58:10,277,742,-465,264
2025-08-11 07:58:25,287,735,-448,264
2025-08-11 07:58:40,286,734,-448,265
2025-08-11 07:58:55,279,710,-431,265
2025-08-11 07:59:11,261,746,-485,265
2025-08-11 07:59:26,276,775,-499,265
2025-08-11 07:59:41,248,730,-481,265
2025-08-11 07:59:56,269,775,-506,270
2025-08-11 08:00:11,307,766,-459,270
2025-08-11 08:00:26,297,730,-433,270
2025-08-11 08:00:41,281,720,-440,270
2025-08-11 08:00:56,300,700,-400,271
2025-08-11 08:01:11,274,691,-417,271
2025-08-11 08:01:26,288,695,-406,273
2025-08-11 08:01:41,275,719,-443,273
2025-08-11 08:01:56,295,705,-411,274
2025-08-11 08:02:12,285,714,-429,274
2025-08-11 08:02:27,326,725,-400,274
2025-08-11 08:02:42,323,703,-380,282
2025-08-11 08:02:57,337,722,-384,286
2025-08-11 08:03:12,338,709,-371,286
2025-08-11 08:03:27,336,680,-344,286
2025-08-11 08:03:42,363,701,-338,289
2025-08-11 08:03:57,360,684,-324,293
2025-08-11 08:04:12,371,696,-325,293
2025-08-11 08:04:27,403,728,-325,293
2025-08-11 08:04:43,352,691,-339,293
2025-08-11 08:04:58,363,692,-328,293
2025-08-11 08:05:13,391,702,-310,293
2025-08-11 08:05:28,373,711,-338,302
2025-08-11 08:05:43,390,758,-368,302
2025-08-11 08:05:58,406,721,-315,304
2025-08-11 08:06:13,391,717,-327,304
2025-08-11 08:06:28,386,719,-333,309
2025-08-11 08:06:43,361,712,-351,309
2025-08-11 08:06:58,370,722,-352,317
2025-08-11 08:07:13,352,733,-381,317
2025-08-11 08:07:29,364,724,-360,321
2025-08-11 08:07:44,339,744,-405,321
2025-08-11 08:07:59,372,731,-359,343
2025-08-11 08:08:14,358,730,-372,343
2025-08-11 08:08:29,377,727,-350,354
2025-08-11 08:08:44,386,719,-333,354
2025-08-11 08:08:59,392,748,-356,364
2025-08-11 08:09:14,403,705,-302,364
2025-08-11 08:09:29,426,711,-284,372
2025-08-11 08:09:44,427,736,-309,372
2025-08-11 08:09:59,421,734,-313,372
2025-08-11 08:10:14,412,716,-304,372
2025-08-11 08:10:30,423,713,-290,372
2025-08-11 08:10:45,444,720,-276,372
2025-08-11 08:11:00,447,750,-302,384
2025-08-11 08:11:15,436,709,-273,384
2025-08-11 08:11:30,462,709,-247,386
2025-08-11 08:11:45,459,708,-249,386
2025-08-11 08:12:00,465,635,-170,389
2025-08-11 08:12:15,462,651,-189,389
2025-08-11 08:12:30,436,621,-185,394
2025-08-11 08:12:45,465,632,-167,394
2025-08-11 08:13:00,451,608,-156,394
2025-08-11 08:13:15,456,624,-168,396
2025-08-11 08:13:31,455,616,-161,396
2025-08-11 08:13:46,446,617,-171,413
2025-08-11 08:14:01,436,607,-170,421
2025-08-11 08:14:16,445,633,-188,421
2025-08-11 08:14:31,427,635,-208,428
2025-08-11 08:14:46,403,622,-220,428
2025-08-11 08:15:01,426,609,-184,431
2025-08-11 08:15:16,430,613,-184,431
2025-08-11 08:15:31,431,633,-203,431
2025-08-11 08:15:46,426,612,-186,431
2025-08-11 08:16:02,405,603,-198,431
2025-08-11 08:16:17,386,601,-216,431
2025-08-11 08:16:32,399,626,-227,438
