Timestamp,Production_W,Consumption_W,Net_W,PanelTotal_W
2025-08-08 07:55:00,217,514,-298,212
2025-08-08 07:55:15,217,492,-275,212
2025-08-08 07:55:31,176,487,-311,213
2025-08-08 07:55:46,235,504,-269,213
2025-08-08 07:56:01,186,474,-287,215
2025-08-08 07:56:16,209,459,-250,215
2025-08-08 07:56:31,226,483,-257,215
2025-08-08 07:56:46,203,489,-286,215
2025-08-08 07:57:01,244,482,-239,215
2025-08-08 07:57:16,243,579,-336,215
2025-08-08 07:57:31,226,720,-494,215
2025-08-08 07:57:46,207,690,-483,215
2025-08-08 07:58:01,235,2321,-2087,217
2025-08-08 07:58:17,206,2261,-2056,217
2025-08-08 07:58:32,220,2272,-2052,220
2025-08-08 07:58:47,242,619,-377,220
2025-08-08 07:59:02,207,637,-430,221
2025-08-08 07:59:17,231,643,-411,221
2025-08-08 07:59:32,190,638,-448,222
2025-08-08 07:59:47,227,641,-414,222
2025-08-08 08:00:02,218,638,-420,222
2025-08-08 08:00:17,253,636,-383,222
2025-08-08 08:00:32,209,611,-402,222
2025-08-08 08:00:48,231,649,-418,222
2025-08-08 08:01:03,222,633,-411,223
2025-08-08 08:01:18,228,653,-425,223
2025-08-08 08:01:33,234,651,-417,223
2025-08-08 08:01:48,208,631,-423,223
2025-08-08 08:02:03,275,652,-377,224
2025-08-08 08:02:18,201,629,-427,224
2025-08-08 08:02:33,235,631,-396,227
2025-08-08 08:02:48,213,638,-425,227
2025-08-08 08:03:03,218,610,-393,229
2025-08-08 08:03:18,227,625,-398,229
2025-08-08 08:03:34,218,618,-400,231
2025-08-08 08:03:49,250,643,-393,231
2025-08-08 08:04:04,252,627,-375,232
2025-08-08 08:04:19,226,601,-374,232
2025-08-08 08:04:34,235,657,-422,232
2025-08-08 08:04:49,217,619,-401,232
2025-08-08 08:05:04,307,698,-391,232
2025-08-08 08:05:19,271,669,-398,232
2025-08-08 08:05:34,235,660,-425,232
2025-08-08 08:05:49,250,666,-415,232
2025-08-08 08:06:04,254,711,-456,233
2025-08-08 08:06:20,224,668,-444,233
2025-08-08 08:06:35,256,644,-388,233
2025-08-08 08:06:50,229,648,-419,233
2025-08-08 08:07:05,249,620,-371,235
2025-08-08 08:07:20,247,595,-348,235
2025-08-08 08:07:35,245,609,-364,236
2025-08-08 08:07:50,227,621,-394,236
2025-08-08 08:08:05,246,615,-369,237
2025-08-08 08:08:20,231,631,-400,237
2025-08-08 08:08:35,203,616,-412,239
2025-08-08 08:08:50,232,647,-415,239
2025-08-08 08:09:06,252,649,-396,241
2025-08-08 08:09:21,244,665,-421,241
2025-08-08 08:09:36,252,662,-410,244
2025-08-08 08:09:51,242,641,-399,244
2025-08-08 08:10:06,231,619,-388,244
2025-08-08 08:10:21,244,630,-386,244
2025-08-08 08:10:36,237,625,-388,245
2025-08-08 08:10:51,221,620,-400,245
2025-08-08 08:11:06,220,592,-372,245
2025-08-08 08:11:21,251,628,-377,245
2025-08-08 08:11:36,230,613,-383,245
2025-08-08 08:11:51,266,615,-349,245
2025-08-08 08:12:07,261,597,-336,246
2025-08-08 08:12:22,250,569,-319,246
2025-08-08 08:12:37,239,582,-342,247
2025-08-08 08:12:52,208,582,-374,247
2025-08-08 08:13:07,238,596,-358,247
2025-08-08 08:13:22,267,602,-335,247
2025-08-08 08:13:37,288,592,-303,249
2025-08-08 08:13:52,242,596,-354,249
2025-08-08 08:14:07,244,587,-344,250
2025-08-08 08:14:22,239,565,-325,250
2025-08-08 08:14:37,258,578,-320,253
2025-08-08 08:14:53,272,593,-320,253
2025-08-08 08:15:08,249,622,-373,256
2025-08-08 08:15:23,241,589,-348,257
2025-08-08 08:15:38,261,602,-342,257
2025-08-08 08:15:53,246,596,-349,257
2025-08-08 08:16:08,259,628,-368,257
2025-08-08 08:16:23,267,587,-320,257
2025-08-08 08:16:38,262,579,-317,257
2025-08-08 08:16:53,245,598,-352,257
2025-08-08 08:17:08,259,597,-337,258
2025-08-08 08:17:23,254,601,-348,258
2025-08-08 08:17:39,228,596,-368,258
2025-08-08 08:17:54,264,664,-400,258
2025-08-08 08:18:09,255,633,-378,261
2025-08-08 08:18:24,248,603,-354,262
2025-08-08 08:18:39,244,605,-360,262
2025-08-08 08:18:54,254,613,-359,263
2025-08-08 08:19:09,283,628,-345,263
2025-08-08 08:19:24,258,646,-388,265
2025-08-08 08:19:39,269,598,-329,265
2025-08-08 08:19:55,264,612,-347,266
2025-08-08 08:20:10,282,633,-351,266
2025-08-08 08:20:25,262,603,-341,267
2025-08-08 08:20:40,244,581,-338,267
2025-08-08 08:20:55,255,595,-339,267
2025-08-08 08:21:10,264,593,-329,267
2025-08-08 08:21:25,260,598,-337,268
2025-08-08 08:21:40,258,582,-324,268
2025-08-08 08:21:55,286,593,-307,268
2025-08-08 08:22:10,303,602,-300,268
2025-08-08 08:22:25,292,622,-330,268
2025-08-08 08:22:40,267,620,-353,268
2025-08-08 08:22:56,298,600,-301,269
2025-08-08 08:23:11,253,702,-450,269
2025-08-08 08:23:26,280,695,-415,269
2025-08-08 08:23:41,293,703,-410,269
2025-08-08 08:23:56,279,698,-418,269
2025-08-08 08:24:11,287,719,-432,269
2025-08-08 08:24:26,270,740,-469,272
2025-08-08 08:24:41,289,691,-402,272
2025-08-08 08:24:56,293,690,-397,274
2025-08-08 08:25:12,267,700,-433,274
2025-08-08 08:25:27,274,698,-424,277
2025-08-08 08:25:42,300,692,-392,277
2025-08-08 08:25:57,280,730,-450,280
2025-08-08 08:26:12,269,714,-445,280
2025-08-08 08:26:27,290,693,-402,281
2025-08-08 08:26:42,266,712,-447,281
2025-08-08 08:26:57,259,669,-409,281
2025-08-08 08:27:12,277,709,-432,281
2025-08-08 08:27:27,289,705,-416,281
2025-08-08 08:27:42,275,719,-444,281
2025-08-08 08:27:58,275,707,-432,282
2025-08-08 08:28:13,286,681,-394,282
2025-08-08 08:28:28,291,695,-404,283
2025-08-08 08:28:43,296,695,-399,283
2025-08-08 08:28:58,286,700,-413,285
2025-08-08 08:29:13,280,743,-463,285
2025-08-08 08:29:28,303,670,-367,286
2025-08-08 08:29:43,285,681,-396,286
2025-08-08 08:29:58,284,703,-419,287
2025-08-08 08:30:13,280,670,-390,287
2025-08-08 08:30:28,335,694,-359,289
2025-08-08 08:30:44,290,696,-406,289
2025-08-08 08:30:59,320,706,-386,291
2025-08-08 08:31:14,304,735,-431,291
2025-08-08 08:31:29,288,733,-445,294
2025-08-08 08:31:44,306,707,-400,294
2025-08-08 08:31:59,282,707,-425,294
2025-08-08 08:32:14,291,681,-390,294
2025-08-08 08:32:29,286,715,-428,295
2025-08-08 08:32:44,278,637,-359,295
2025-08-08 08:32:59,300,671,-371,295
2025-08-08 08:33:14,311,687,-376,295
2025-08-08 08:33:29,297,693,-396,296
2025-08-08 08:33:45,321,700,-379,296
2025-08-08 08:34:00,292,690,-399,297
2025-08-08 08:34:15,282,692,-410,297
2025-08-08 08:34:30,288,700,-412,299
2025-08-08 08:34:45,308,715,-407,299
2025-08-08 08:35:00,309,734,-425,300
2025-08-08 08:35:15,338,748,-410,300
2025-08-08 08:35:30,329,741,-413,302
2025-08-08 08:35:45,303,736,-433,302
2025-08-08 08:36:00,330,718,-387,304
2025-08-08 08:36:16,331,744,-414,304
2025-08-08 08:36:31,296,718,-422,306
2025-08-08 08:36:46,323,713,-390,306
2025-08-08 08:37:01,313,687,-375,310
2025-08-08 08:37:16,332,696,-364,310
2025-08-08 08:37:31,315,700,-385,311
2025-08-08 08:37:46,321,732,-410,311
2025-08-08 08:38:01,320,739,-419,312
2025-08-08 08:38:16,279,719,-440,312
2025-08-08 08:38:31,309,735,-427,312
2025-08-08 08:38:46,306,705,-399,312
2025-08-08 08:39:01,286,662,-376,313
2025-08-08 08:39:17,288,690,-402,313
2025-08-08 08:39:32,283,703,-419,313
2025-08-08 08:39:47,283,753,-470,313
2025-08-08 08:40:02,274,725,-452,313
2025-08-08 08:40:17,279,720,-441,313
2025-08-08 08:40:32,280,741,-461,313
2025-08-08 08:40:47,286,742,-456,313
2025-08-08 08:41:02,303,737,-434,314
2025-08-08 08:41:17,288,772,-484,314
2025-08-08 08:41:32,276,766,-490,313
2025-08-08 08:41:47,304,779,-475,313
2025-08-08 08:42:03,278,761,-483,312
2025-08-08 08:42:18,283,765,-482,312
2025-08-08 08:42:33,295,753,-458,311
2025-08-08 08:42:48,346,743,-396,311
2025-08-08 08:43:03,355,760,-405,310
2025-08-08 08:43:18,339,747,-407,310
2025-08-08 08:43:33,353,724,-370,310
2025-08-08 08:43:48,347,711,-364,310
2025-08-08 08:44:03,361,757,-396,310
2025-08-08 08:44:18,350,800,-450,310
2025-08-08 08:44:34,397,759,-362,309
2025-08-08 08:44:49,365,757,-392,309
2025-08-08 08:45:04,351,772,-422,310
2025-08-08 08:45:19,343,746,-403,310
2025-08-08 08:45:34,345,770,-425,311
2025-08-08 08:45:49,349,764,-415,311
2025-08-08 08:46:04,349,767,-419,313
2025-08-08 08:46:19,350,766,-416,313
2025-08-08 08:46:34,357,751,-394,319
2025-08-08 08:46:49,328,717,-389,319
2025-08-08 08:47:04,351,694,-343,325
2025-08-08 08:47:20,327,743,-417,325
2025-08-08 08:47:35,346,742,-397,332
2025-08-08 08:47:50,342,758,-416,332
2025-08-08 08:48:05,354,785,-431,340
2025-08-08 08:48:20,317,776,-458,340
2025-08-08 08:48:35,354,752,-399,342
2025-08-08 08:48:50,360,739,-379,342
2025-08-08 08:49:05,355,737,-382,344
2025-08-08 08:49:20,369,707,-338,344
2025-08-08 08:49:35,368,713,-345,344
2025-08-08 08:49:51,386,706,-320,344
2025-08-08 08:50:06,402,736,-334,346
2025-08-08 08:50:21,395,617,-221,346
2025-08-08 08:50:36,380,589,-209,348
2025-08-08 08:50:51,376,615,-239,348
2025-08-08 08:51:06,414,626,-212,354
2025-08-08 08:51:21,388,637,-249,355
2025-08-08 08:51:36,408,641,-233,355
2025-08-08 08:51:51,379,618,-239,355
2025-08-08 08:52:06,383,611,-228,360
2025-08-08 08:52:21,386,629,-244,360
2025-08-08 08:52:36,376,643,-267,364
2025-08-08 08:52:52,418,699,-281,364
2025-08-08 08:53:07,397,621,-224,371
2025-08-08 08:53:22,401,657,-256,371
2025-08-08 08:53:37,387,628,-240,377
2025-08-08 08:53:52,401,611,-211,378
2025-08-08 08:54:07,400,621,-222,378
2025-08-08 08:54:22,414,596,-181,380
2025-08-08 08:54:37,393,616,-223,380
2025-08-08 08:54:52,412,599,-187,380
2025-08-08 08:55:07,423,623,-201,380
2025-08-08 08:55:22,405,609,-204,382
2025-08-08 08:55:38,347,610,-263,382
2025-08-08 08:55:53,349,603,-254,384
2025-08-08 08:56:08,399,628,-228,384
2025-08-08 08:56:23,417,649,-232,384
2025-08-08 08:56:38,410,633,-223,387
2025-08-08 08:56:53,395,600,-205,388
