Timestamp,SerialNumber,Watts,MaxWatts,DailyMaxWatts,LastReportDate
2025-08-12 07:43:42,Panel_1,9,295,9,1754998713
2025-08-12 07:43:42,Panel_2,13,296,13,1754998715
2025-08-12 07:43:42,Panel_3,8,279,8,1754998716
2025-08-12 07:43:42,Panel_4,14,297,14,1754998717
2025-08-12 07:43:42,Panel_5,15,297,15,1754998775
2025-08-12 07:43:42,Panel_6,11,296,11,1754998985
2025-08-12 07:43:42,Panel_7,11,278,11,1754998987
2025-08-12 07:43:42,Panel_8,16,297,16,1754998987
2025-08-12 07:43:42,Panel_9,13,296,13,1754998895
2025-08-12 07:43:42,Panel_10,12,285,12,1754998839
2025-08-12 07:43:42,Panel_11,8,171,8,1754998808
2025-08-12 07:43:42,Panel_12,12,296,12,1754998955
2025-08-12 07:43:42,Panel_13,12,296,12,1754998957
2025-08-12 07:43:42,Panel_14,10,241,10,1754998687
2025-08-12 07:43:42,Panel_15,11,296,11,1754998722
2025-08-12 07:43:42,Panel_16,11,294,11,1754998988
2025-08-12 07:43:42,Panel_17,8,249,8,1754998927
2025-08-12 07:43:42,Panel_18,15,297,15,1754998726
2025-08-12 07:43:42,Panel_19,12,292,12,1754998900
2025-08-12 07:43:42,Panel_20,16,297,16,1754998813
2025-08-12 07:43:42,Panel_21,14,296,14,1754998871
2025-08-12 07:43:42,Panel_22,13,296,13,1754998991
2025-08-12 07:43:58,Panel_14,11,241,11,1754999016
2025-08-12 07:44:28,Panel_1,10,295,10,1754999044
2025-08-12 07:44:28,Panel_2,15,296,15,1754999045
2025-08-12 07:44:28,Panel_3,9,279,9,1754999046
2025-08-12 07:44:28,Panel_4,15,297,15,1754999047
2025-08-12 07:44:28,Panel_15,12,296,12,1754999049
2025-08-12 07:44:28,Panel_18,16,297,16,1754999050
2025-08-12 07:45:28,Panel_5,16,297,16,1754999105
2025-08-12 07:45:58,Panel_11,9,171,9,1754999136
2025-08-12 07:45:58,Panel_20,16,297,16,1754999139
2025-08-12 07:46:28,Panel_10,12,285,12,1754999166
2025-08-12 07:46:59,Panel_21,13,296,14,1754999197
2025-08-12 07:47:29,Panel_9,12,296,13,1754999225
2025-08-12 07:47:29,Panel_19,12,292,12,1754999229
2025-08-12 07:47:59,Panel_17,7,249,8,1754999257
2025-08-12 07:48:29,Panel_12,11,296,12,1754999288
2025-08-12 07:48:29,Panel_13,11,296,12,1754999289
2025-08-12 07:49:00,Panel_6,10,296,11,1754999316
2025-08-12 07:49:00,Panel_7,10,278,11,1754999319
2025-08-12 07:49:00,Panel_8,15,297,16,1754999319
2025-08-12 07:49:00,Panel_16,10,294,11,1754999322
2025-08-12 07:49:00,Panel_22,12,296,13,1754999324
2025-08-12 07:49:30,Panel_14,10,241,11,1754999346
2025-08-12 07:50:00,Panel_1,9,295,10,1754999375
2025-08-12 07:50:00,Panel_2,13,296,15,1754999376
2025-08-12 07:50:00,Panel_3,8,279,9,1754999377
2025-08-12 07:50:00,Panel_4,14,297,15,1754999379
2025-08-12 07:50:00,Panel_15,11,296,12,1754999382
2025-08-12 07:50:00,Panel_18,15,297,16,1754999384
2025-08-12 07:51:01,Panel_5,15,297,16,1754999435
2025-08-12 07:51:31,Panel_11,8,171,9,1754999466
2025-08-12 07:51:31,Panel_20,16,297,16,1754999469
2025-08-12 07:52:01,Panel_10,12,285,12,1754999496
2025-08-12 07:52:31,Panel_21,14,296,14,1754999529
2025-08-12 07:53:01,Panel_9,14,296,14,1754999556
